date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:35:08	86982/86982	---M-Z	200	added ('OK')	text/html	etag:%22153c6-5a6758c7dea80-gzip%22	http://html.phoenixcoded.net/empire/bootstrap/default/dashboards_analytics.html?fbclid=IwAR1aCfKjO-NBBEaR4no0zlSUzoKkYfbJa5ieWtnsAhNiShrKup23M86q9iw	C:/Users/INFOTEC/Downloads/AdminTemplate/html.phoenixcoded.net/empire/bootstrap/default/dashboards_analyticse360.html	(from )
15:35:08	283/283	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Mar%202023%2014:35:09%20GMT	http://html.phoenixcoded.net/robots.txt		(from )
15:35:09	72670/72670	---M-Z	200	added ('OK')	text/css	etag:%2211bde-5a1ad9643e780-gzip%22	http://html.phoenixcoded.net/empire/bootstrap/default/assets/fonts/fontawesome.css	C:/Users/INFOTEC/Downloads/AdminTemplate/html.phoenixcoded.net/empire/bootstrap/default/assets/fonts/fontawesome.css	(from http://html.phoenixcoded.net/empire/bootstrap/default/dashboards_analytics.html?fbclid=IwAR1aCfKjO-NBBEaR4no0zlSUzoKkYfbJa5ieWtnsAhNiShrKup23M86q9iw)
15:35:09	47299/47299	---M-Z	200	added ('OK')	text/css	etag:%22b8c3-584a3f9bcf800-gzip%22	http://html.phoenixcoded.net/empire/bootstrap/default/assets/fonts/ionicons.css	C:/Users/INFOTEC/Downloads/AdminTemplate/html.phoenixcoded.net/empire/bootstrap/default/assets/fonts/ionicons.css	(from http://html.phoenixcoded.net/empire/bootstrap/default/dashboards_analytics.html?fbclid=IwAR1aCfKjO-NBBEaR4no0zlSUzoKkYfbJa5ieWtnsAhNiShrKup23M86q9iw)
15:35:11	8380/8380	---M-Z	200	added ('OK')	text/css	etag:%2220bc-584a3f9bcf800-gzip%22	http://html.phoenixcoded.net/empire/bootstrap/default/assets/fonts/linearicons.css	C:/Users/INFOTEC/Downloads/AdminTemplate/html.phoenixcoded.net/empire/bootstrap/default/assets/fonts/linearicons.css	(from http://html.phoenixcoded.net/empire/bootstrap/default/dashboards_analytics.html?fbclid=IwAR1aCfKjO-NBBEaR4no0zlSUzoKkYfbJa5ieWtnsAhNiShrKup23M86q9iw)
15:35:11	9330/9330	---M-Z	200	added ('OK')	text/css	etag:%222472-584a3f9db7c80-gzip%22	http://html.phoenixcoded.net/empire/bootstrap/default/assets/fonts/open-iconic.css	C:/Users/INFOTEC/Downloads/AdminTemplate/html.phoenixcoded.net/empire/bootstrap/default/assets/fonts/open-iconic.css	(from http://html.phoenixcoded.net/empire/bootstrap/default/dashboards_analytics.html?fbclid=IwAR1aCfKjO-NBBEaR4no0zlSUzoKkYfbJa5ieWtnsAhNiShrKup23M86q9iw)
15:35:11	10103/10103	---M-Z	200	added ('OK')	text/css	etag:%222777-584a3f9db7c80-gzip%22	http://html.phoenixcoded.net/empire/bootstrap/default/assets/fonts/pe-icon-7-stroke.css	C:/Users/INFOTEC/Downloads/AdminTemplate/html.phoenixcoded.net/empire/bootstrap/default/assets/fonts/pe-icon-7-stroke.css	(from http://html.phoenixcoded.net/empire/bootstrap/default/dashboards_analytics.html?fbclid=IwAR1aCfKjO-NBBEaR4no0zlSUzoKkYfbJa5ieWtnsAhNiShrKup23M86q9iw)
15:35:12	11800/11800	---M-Z	200	added ('OK')	text/css	etag:%222e18-584a3f9bcf800-gzip%22	http://html.phoenixcoded.net/empire/bootstrap/default/assets/fonts/feather.css	C:/Users/INFOTEC/Downloads/AdminTemplate/html.phoenixcoded.net/empire/bootstrap/default/assets/fonts/feather.css	(from http://html.phoenixcoded.net/empire/bootstrap/default/dashboards_analytics.html?fbclid=IwAR1aCfKjO-NBBEaR4no0zlSUzoKkYfbJa5ieWtnsAhNiShrKup23M86q9iw)
15:35:12	170311/170311	---M-Z	200	added ('OK')	text/css	etag:%2229947-5a6196591cb00-gzip%22	http://html.phoenixcoded.net/empire/bootstrap/default/assets/css/bootstrap-material.css	C:/Users/INFOTEC/Downloads/AdminTemplate/html.phoenixcoded.net/empire/bootstrap/default/assets/css/bootstrap-material.css	(from http://html.phoenixcoded.net/empire/bootstrap/default/dashboards_analytics.html?fbclid=IwAR1aCfKjO-NBBEaR4no0zlSUzoKkYfbJa5ieWtnsAhNiShrKup23M86q9iw)
15:35:13	296810/296810	---M-Z	200	added ('OK')	text/css	etag:%224876a-5a301a0b40380-gzip%22	http://html.phoenixcoded.net/empire/bootstrap/default/assets/css/shreerang-material.css	C:/Users/INFOTEC/Downloads/AdminTemplate/html.phoenixcoded.net/empire/bootstrap/default/assets/css/shreerang-material.css	(from http://html.phoenixcoded.net/empire/bootstrap/default/dashboards_analytics.html?fbclid=IwAR1aCfKjO-NBBEaR4no0zlSUzoKkYfbJa5ieWtnsAhNiShrKup23M86q9iw)
